"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","number","id"
"29","LLN_181",95,"LLN","LLN_181_0_0","Bayazeh Kabira 1",0,0,0,0,0,0,0,0,0,0,0,0,1.484893377,0,0,0,0,0,0,0,0,0,0,0,0,0,725407.6704,4094393.469,1,0,0,1.484893377,0,0,0,0,NA,"",NA,1.484893377,"MBA",NA,180295,51
"30","LLN_182",174,"LLN","LLN_182_0_0","Bayaza Kabira 2",0,0,0,0,0,0,0,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,721834.0501,4085680.0994,1,0,0,1.125,0,0,0,0,NA,"",NA,1.125,"MBA",NA,10974,52
"31","LLN_183",89,"LLN","LLN_183_0_0","Banja",0,0,0,0,0,0,0,0,0,0,0,0,3.1415926,0,3.1415926,0,0,0,0,0,0,0,0,0,0,0,733821.2825,4091398.9025,1,0,0,3.1415926,3.1415926,0,0,1.439969609e-06,384,"",NA,3.1415926,"MBA,LBA",NA,175312,53
"32","LLN_184",125,"LLN","LLN_184_0_0","Qubur al-harb",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,734793.1012,4097214.382,1,0,0,1,0,0,0,0,NA,"",NA,1,"MBA",NA,192902,54
"33","LLN_185",175,"LLN","LLN_185_0_0","Khazna 2",0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,721846.0365,4085608.181,1,0,0,2.25,0,0,0,0,NA,"",NA,2.25,"MBA",NA,10985,55
"34","LLN_186",75,"LLN","LLN_186_0_0","Farfara",0,176,176,0,0,176,0,176,0,176,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,707967.0257,4077806.9197,1,176,176,176,176,176,0,4.6431759083e-05,776,"",NA,176,"EBA1,EBA2,MBA,LBA,IA1",NA,182545,56
"35","LLN_189",28,"LLN","LLN_189_0_0","Ahmed",2.25,0,2.25,0,0,2.25,0,2.25,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,709528.3978,4081186.7071,1,2.25,2.25,2.25,0,0,0,1.4709551834e-05,832,"",NA,2.25,"EBA1,EBA2,MBA",NA,168658,58
"36","LLN_190",126,"LLN","LLN_190_0_0","Abu Tuwain",0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,712202.1508,4078577.9061,1,0,0,1.5,0,0,0,3.124228622e-06,15,"",NA,1.5,"MBA",NA,180063,60
"37","LLN_193",76,"LLN","LLN_193_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0.7501,0,0.7501,0,0,0,0,0,0,0,0,0,0,0,707089.3356,4081101.9638,1,0,0,0.7501,0.7501,0,0,7.707619439e-06,343,"",NA,0.7501,"MBA,LBA",NA,175715,61
"38","LLN_201",129,"LLN","LLN_201_0_0","Hansa",0,0,0,0,0,0,0,32.5,0,32.5,0,0,32.5,0,32.5,0,0,0,0,0,0,0,0,0,0,0,716082.2948,4055296.3737,1,0,32.5,32.5,32.5,0,0,0,NA,"",NA,32.5,"EBA2,MBA,LBA",NA,189023,67
"39","LLN_210",106,"LLN","LLN_210_0_0","Umm et-Tlal",0,0,0,0,0,0,0,0,0,0,0,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0,0,728294.9801,4056306.1251,1,0,0,17.16,0,0,0,0,NA,"",NA,17.16,"MBA",NA,59703,71
"40","LLN_212",48,"LLN","LLN_212_0_0","al-Andalus",0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,733816.8245,4056171.4814,1,0,0,64,64,64,0,4.4428408378e-05,238,"",NA,64,"MBA,LBA,IA1",NA,179674,72
"41","LLN_221",46,"LLN","LLN_221_0_0","Abu Zayyan",0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,726927.5725,4066516.1305,1,0,0,1.05,0,0,0,0,NA,"",NA,1.05,"MBA",NA,186802,77
"42","LLN_223",47,"LLN","LLN_223_0_0","Sultan et-Tellul",0,7.8,0,0,0,0,0,7.8,0,0,0,0,7.8,0,7.8,0,0,7.8,0,0,0,0,0,0,0,0,730368.3696,4063486.1668,1,7.8,7.8,7.8,7.8,7.8,0,1.6658734782e-05,729,"",NA,7.8,"EBA1,EBA2,MBA,LBA,IA1",NA,196364,78
"43","LLN_227",110,"LLN","LLN_227_0_0","Bouwaitikh",0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,734339.3726,4071857.3642,1,0,0,5.7,0,0,0,7.089052138e-06,90,"",NA,5.7,"MBA",NA,193006,81
"44","LLN_231",109,"LLN","LLN_231_0_0","Aweinat ibn Harshan",0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,11.04,0,0,0,0,0,0,0,0,718243.8019,4060630.3297,1,0,0,11.04,11.04,11.04,0,0,NA,"",NA,11.04,"MBA,LBA,IA1",NA,181291,82
