"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","id","sizeCat","number"
"40","NJS_157",352,"NJS","NJS_157_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,2.4001,0,0,0,0,0,0,776874.389928571,4072209.58221429,2.4001,0,0,0,1.2001,1.2001,2.4001,0,NA,"",NA,1.2001,"LBA,IA1,IA2",NA,232,2,556832
"41","NJS_160",355,"NJS","NJS_160_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.6001,0,0,0,0,1.6001,0,0.7001,0,0,0,0,0,0,780883.346566667,4074584.1562,1.6001,0,0,1.6001,1.6001,1.6001,0.7001,0,NA,"",NA,1.6001,"MBA,LBA,IA1,IA2",NA,234,2,553488
"42","NJS_19",226,"NJS","NJS_19_0_0","Tell Qarayah al-Botha",0,0,0,3.5001,0,0,0,0,0,0,0,0,6.0001,0,0,0,0,2.5001,0,0.4001,0,0,0,0,0,0,791045.227818182,4069095.38090909,6.0001,3.5001,0,6.0001,2.5001,2.5001,0.4001,3.1636883212e-05,31,"",NA,2.5001,"EBA1,MBA,LBA,IA1,IA2",NA,249,3,137941
"43","NJS_20",225,"NJS","NJS_20_0_0","Qabi al-Biyadir",0,0,0,0,0,0,0,0,0,0,2.8001,0,2.8001,0,0,0,0,1.1001,0,4.7001,0,0,0,0,0,0,792508.4716375,4068629.8385,4.7001,0,2.8001,2.8001,1.1001,1.1001,4.7001,1.0799094737e-05,851,"",NA,1.1001,"EBA2,MBA,LBA,IA1,IA2",NA,251,2,546342
"44","NJS_22",228,"NJS","NJS_22_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.6001,0,0,0,0,0.4001,0,0,0,0,0,0,0,0,797854.140066667,4069233.74803333,1.6001,0,0,1.6001,0.4001,0.4001,0,0,NA,"",NA,0.4001,"MBA,LBA,IA1",NA,252,2,543247
"45","NJS_29",235,"NJS","NJS_29_0_0","",0,0,0,8.9001,0,0,0,0,0,0,8.9001,0,8.9002,0,0,0,0,3e-04,0,3e-04,0,0,0,0,0,0,790366.5326,4073810.72766,8.9002,8.9001,8.9001,8.9002,3e-04,3e-04,3e-04,0,NA,"",NA,8.9002,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,257,3,371631
"46","NJS_30",236,"NJS","NJS_30_0_0","",0,0,0,4.3001,0,0,0,0,0,0,0,0,3.4001,0,0,0,0,0.6001,0,1.3001,0,0,0,0,0,0,789206.028933333,4074918.67673333,4.3001,4.3001,0,3.4001,0.6001,0.6001,1.3001,0,NA,"",NA,0.6001,"EBA1,MBA,LBA,IA1,IA2",NA,259,2,501889
"47","NJS_37",241,"NJS","NJS_37_0_0","",0,0,0,1.5,0,0,0,0,0,0,0,0,0.7,0,0,0,0,1.7001,0,0.5001,0,0,0,0,0,0,803390.74525,4072279.2036875,1.7001,1.5,0,0.7,1.7001,1.7001,0.5001,1.8687135521e-05,464,"",NA,1.7001,"EBA1,MBA,LBA,IA1,IA2",NA,261,2,563301
"48","NJS_39",243,"NJS","NJS_39_0_0","Khirbet Gar Sur",0,0,0,1.5002,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,803819.48418,4071087.5743,1.5002,1.5002,0,2e-04,2e-04,2e-04,0,0,NA,"",NA,1.5002,"EBA1,MBA,LBA,IA1",NA,263,2,561642
"49","NJS_42",246,"NJS","NJS_42_0_0","",0,0,0,4.1001,0,0,0,0,0,0,2.5001,0,6.0001,0,0.7001,0,0,0.7001,0,3.0001,0,0,0,0,0,0,802952.587109091,4069857.60347273,6.0001,4.1001,2.5001,6.0001,0.7001,0.7001,3.0001,1.4255301246e-05,320,"",NA,0.7001,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,265,3,560451
