Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
NJS_126,323,NJS,NJS_126_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0.5001,0,0.5001,0,0,0,0,0,0,783921.835942857,4071451.33174286,1,0,0,1.0001,0.5001,0.5001,0.5001,0,,,,1.0001,"MBA,LBA,IA1,IA2",,156063
NJS_131,328,NJS,NJS_131_0_0,,0,0,0,0,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0.5001,0,0.9001,0,0,0,0,0,0,783846.5652,4074229.2149,1,0,0.9001,0.9001,0.5001,0.5001,0.9001,0,,,,0.9001,"EBA2,MBA,LBA,IA1,IA2",,114209
NJS_138,335,NJS,NJS_138_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,3.7001,0,3.7001,0,0,0,0,0,0,780738.14235,4060590.5283,1,0,0,0.5001,3.7001,3.7001,3.7001,0,,,,3.7001,"MBA,LBA,IA1,IA2",,32206
NJS_14,220,NJS,NJS_14_0_0,,0,0,0,1.9001,0,0,0,0,0,0,0,0,3.6001,0,3.6001,0,0,0.7001,0,0.4001,0,0,0,0,0,0,795967.86714,4068447.5022,1,1.9001,0,3.6001,3.6001,0.7001,0.4001,0,,,,3.6001,"EBA1,MBA,LBA,IA1,IA2",,170449
NJS_140,337,NJS,NJS_140_0_0,(Tell Mana'a),0,0,0,0,0,0,0,0,0,0,1.0001,0,8.0001,0,0,0,0,3.5001,0,3.0001,0,0,0,0,0,0,781037.059114286,4064157.06055714,1,0,1.0001,8.0001,3.5001,3.5001,3.0001,2.6177195322e-005,793,,,8.0001,"EBA2,MBA,LBA,IA1,IA2",,111792
NJS_155,386,NJS,NJS_155_0_0,(Tell Hayal),0,0,0,0,0,0,0,0,0,0,2.0001,0,2.4001,0,0,0,0,2.0001,0,1.0001,0,0,0,0,0,0,783598.987275,4077589.140125,1,0,2.0001,2.4001,2.0001,2.0001,1.0001,2.4628669236e-005,751,,,2.4001,"EBA2,MBA,LBA,IA1,IA2",,105612
NJS_157,352,NJS,NJS_157_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,2.4001,0,0,0,0,0,0,776874.389928571,4072209.58221429,1,0,0,0,1.2001,1.2001,2.4001,0,,,,2.4001,"LBA,IA1,IA2",,184754
NJS_160,355,NJS,NJS_160_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.6001,0,0,0,0,1.6001,0,0.7001,0,0,0,0,0,0,780883.346566667,4074584.1562,1,0,0,1.6001,1.6001,1.6001,0.7001,0,,,,1.6001,"MBA,LBA,IA1,IA2",,167294
NJS_19,226,NJS,NJS_19_0_0,(Tell el-Butha)?,0,0,0,3.5001,0,0,0,0,0,0,0,0,6.0001,0,0,0,0,2.5001,0,0.4001,0,0,0,0,0,0,791045.227818182,4069095.38090909,1,3.5001,0,6.0001,2.5001,2.5001,0.4001,3.1636883212e-005,31,,,6.0001,"EBA1,MBA,LBA,IA1,IA2",,156520
NJS_20,225,NJS,NJS_20_0_0,,0,0,0,0,0,0,0,0,0,0,2.8001,0,2.8001,0,0,0,0,1.1001,0,4.7001,0,0,0,0,0,0,792508.4716375,4068629.8385,1,0,2.8001,2.8001,1.1001,1.1001,4.7001,1.0799094737e-005,851,,,4.7001,"EBA2,MBA,LBA,IA1,IA2",,165790
NJS_22,228,NJS,NJS_22_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.6001,0,0,0,0,0.4001,0,0,0,0,0,0,0,0,797854.140066667,4069233.74803333,1,0,0,1.6001,0.4001,0.4001,0,0,,,,1.6001,"MBA,LBA,IA1",,169214
NJS_29,235,NJS,NJS_29_0_0,,0,0,0,8.9001,0,0,0,0,0,0,8.9001,0,8.9002,0,0,0,0,0.0003,0,0.0003,0,0,0,0,0,0,790366.5326,4073810.72766,1,8.9001,8.9001,8.9002,0.0003,0.0003,0.0003,0,,,,8.9002,"EBA1,EBA2,MBA,LBA,IA1,IA2",,65469
NJS_30,236,NJS,NJS_30_0_0,,0,0,0,4.3001,0,0,0,0,0,0,0,0,3.4001,0,0,0,0,0.6001,0,1.3001,0,0,0,0,0,0,789206.028933333,4074918.67673333,1,4.3001,0,3.4001,0.6001,0.6001,1.3001,0,,,,4.3001,"EBA1,MBA,LBA,IA1,IA2",,141625
NJS_37,241,NJS,NJS_37_0_0,,0,0,0,1.5,0,0,0,0,0,0,0,0,0.7,0,0,0,0,1.7001,0,0.5001,0,0,0,0,0,0,803390.74525,4072279.2036875,1,1.5,0,0.7,1.7001,1.7001,0.5001,1.8687135521e-005,464,,,1.7001,"EBA1,MBA,LBA,IA1,IA2",,87775
NJS_39,243,NJS,NJS_39_0_0,,0,0,0,1.5002,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,803819.48418,4071087.5743,1,1.5002,0,0.0002,0.0002,0.0002,0,0,,,,1.5002,"EBA1,MBA,LBA,IA1",,184297
NJS_42,246,NJS,NJS_42_0_0,,0,0,0,4.1001,0,0,0,0,0,0,2.5001,0,6.0001,0,0.7001,0,0,0.7001,0,3.0001,0,0,0,0,0,0,802952.587109091,4069857.60347273,1,4.1001,2.5001,6.0001,0.7001,0.7001,3.0001,1.4255301246e-005,320,,,6.0001,"EBA1,EBA2,MBA,LBA,IA1,IA2",,195922
