Site_ID,FID_1,Dataset_1,Major_ID_1,Tuna_area_1,Site_Name,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA_T,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA_FC,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y
LLN_157,170,LLN,LLN_157_0_0,0,Madhluma,1.2,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,722025.8324,4085736.0359
LLN_158,122,LLN,LLN_158_0_0,0,Shibaniyeh 2,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,712215.5341,4091563.9525
LLN_16,9,LLN,LLN_16_0_0,5.81178334909,Dougird,0,16,16,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,721828.4872,4101613.8599
LLN_161,74,LLN,LLN_161_0_0,0,Mathlutheh Hillal,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,716057.3616,4077965.3056
LLN_162,171,LLN,LLN_162_0_0,0,Mathlutheh Halag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,721973.8914,4085779.986
LLN_165,123,LLN,LLN_165_0_0,0,Amri Kabir,0,2,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,714313.8059,4077328.6361
LLN_166,124,LLN,LLN_166_0_0,2.60832079649,Mathlutheh Tawila,7.5,0,7.5,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715626.0855,4077186.3801
LLN_169,29,LLN,LLN_169_0_0,0,Qasr Faris,1.5625,0,1.5625,0,0,1.5625,0,1.5625,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,720233.6999,4081932.0909
LLN_17,23,LLN,LLN_17_0_0,0,Kulurah,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,714724.6724,4087225.6376
LLN_171,172,LLN,LLN_171_0_0,0,Kharab al-Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,721909.964,4085775.9905
LLN_179,173,LLN,LLN_179_0_0,0,Tartab 3,0,6.4,6.4,0,0,6.4,0,6.4,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,721878.0002,4085740.0313
LLN_18,30,LLN,LLN_18_0_0,4.94786262789,Farsouk Kebir,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,720870.058,4082470.5346
LLN_180,26,LLN,LLN_180_0_0,4.39989323012,Ghazal,0,11.96,11.96,0,0,11.96,0,11.96,0,11.96,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,708606.3497,4084069.9172
LLN_181,95,LLN,LLN_181_0_0,0,Bayazeh Kabira 1,0,0,0,0,0,0,0,0,0,0,0,0,1.484893377,0,0,0,0,0,0,0,0,0,0,0,0,0,725407.6704,4094393.469
LLN_182,174,LLN,LLN_182_0_0,0,Bayaza Kabira 2,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,721834.0501,4085680.0994
LLN_183,89,LLN,LLN_183_0_0,1.42356233849,Banja,0,0,0,0,0,0,0,0,0,0,0,0,3.1415926,0,3.1415926,0,0,0,0,0,0,0,0,0,0,0,733821.2825,4091398.9025
LLN_184,125,LLN,LLN_184_0_0,0,Qubur al-harb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,734793.1012,4097214.382
LLN_185,175,LLN,LLN_185_0_0,0,Khazna 2,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,721846.0365,4085608.181
