"","id","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","sizeCat"
"29","126","LLN_323",147,"LLN","LLN_323_0_0","Said",0,0,0,0,0,0,0,0,0,0,0,0,0.78539815,0,0,0,0,0,0,0,0,0,0,0,0,0,734841.4495,4109833.2979,0.78539815,0,0,0.78539815,0,0,0,0,NA,"",NA,0.78539815,"MBA",NA,1
"30","127","LLN_33",183,"LLN","LLN_33_0_0","",0,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,722025.8324,4085839.9179,NA,0,1e-04,1e-04,0,0,0,0,NA,"",NA,2.1,"EBA2,MBA",NA,8
"31","128","LLN_330",149,"LLN","LLN_330_0_0","Ziwan",0,0,0,0,0,0,0,0,0,0,0,0,0.950331762,0,0,0,0,0,0,0,0,0,0,0,0,0,707871.4098,4104470.8156,0.950331762,0,0,0.950331762,0,0,0,0,NA,"",NA,0.950331762,"MBA",NA,1
"32","129","LLN_332",184,"LLN","LLN_332_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721965.9004,4085871.8817,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"33","13","LLN_115",69,"LLN","LLN_115_0_0","Siha Kabira",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,717740.4857,4094161.164,5,0,0,5,0,0,0,0,NA,"",NA,5,"MBA",NA,2
"34","130","LLN_335",150,"LLN","LLN_335_0_0","Boutha",0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,716428.9178,4059871.192,0.7,0,0.7,0.7,0,0,0,0,NA,"",NA,0.7,"EBA2,MBA",NA,1
"35","131","LLN_34",101,"LLN","LLN_34_0_0","Gir Margue",0,2.52,2.52,0,0,2.52,0,2.52,0,2.52,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,735718.9455,4098192.0107,2.52,2.52,2.52,2.52,0,0,0,1.534801748e-06,112,"",NA,2.52,"EBA1,EBA2,MBA",NA,2
"36","133","LLN_35",15,"LLN","LLN_35_0_0","Guirdem Halime",0,5,5,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,733297.1358,4101108.6419,5,5,5,5,0,0,0,1.3829134334e-05,719,"",NA,5,"EBA1,EBA2,MBA",NA,2
"37","134","LLN_36",185,"LLN","LLN_36_0_0","",0,0,0,1e-04,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721881.9957,4085819.9406,NA,1e-04,1e-04,1e-04,0,0,0,0,NA,"",NA,2.1,"EBA1,EBA2,MBA",NA,8
"38","135","LLN_37",2,"LLN","LLN_37_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,723768.8908,4095160.3848,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
