"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","id","sizeCat","number"
"62","LLN_96",65,"LLN","LLN_96_0_0","Koubeiba",2.64,0,0,0,0,2.64,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,711985.8713,4088044.6113,2.64,2.64,2.64,2.64,0,0,0,7.666289425e-06,758,"",NA,2.64,"EBA1,EBA2,MBA",NA,192,2,558557
"63","NJS_1",380,"NJS","NJS_1_0_0","Tell al-Hawa",0,0,0,0,0,0,0,0,0,0,65.5001,0,65.5001,0,0,0,0,16.0001,0,0,0,0,0,0,0,0,794811.300267857,4071801.74049643,65.5001,0,65.5001,65.5001,16.0001,16.0001,0,3.3357589612e-05,290,"",NA,65.5001,"EBA2,MBA,LBA,IA1",NA,194,6,411415
"64","NJS_127",324,"NJS","NJS_127_0_0","Abu Kula",0,0,0,5.0002,0,0,0,0,0,0,5.0003,0,5.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,797428.27472,4063270.8198,5.0003,5.0002,5.0003,5.0003,0,0,0,4.2939909816e-05,21,"",NA,5.0003,"EBA1,EBA2,MBA",NA,210,3,255545
"65","NJS_131",328,"NJS","NJS_131_0_0","",0,0,0,0,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0.5001,0,0.9001,0,0,0,0,0,0,783846.5652,4074229.2149,0.9001,0,0.9001,0.9001,0.5001,0.5001,0.9001,0,NA,"",NA,0.9001,"EBA2,MBA,LBA,IA1,IA2",NA,214,1,470053
"66","NJS_140",337,"NJS","NJS_140_0_0","Tell Mana'a",0,0,0,0,0,0,0,0,0,0,1.0001,0,8.0001,0,0,0,0,3.5001,0,3.0001,0,0,0,0,0,0,781037.059114286,4064157.06055714,8.0001,0,1.0001,8.0001,3.5001,3.5001,3.0001,2.6177195322e-05,793,"",NA,1.0001,"EBA2,MBA,LBA,IA1,IA2",NA,221,3,303943
"68","NJS_152",349,"NJS","NJS_152_0_0","",0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778185.033325,4073338.8266,0.5001,0,0.5001,0,0,0,0,0,NA,"",NA,0.5001,"EBA2",NA,229,1,328842
"69","NJS_155",386,"NJS","NJS_155_0_0","(Tell Hayal)",0,0,0,0,0,0,0,0,0,0,2.0001,0,2.4001,0,0,0,0,2.0001,0,1.0001,0,0,0,0,0,0,783598.987275,4077589.140125,2.4001,0,2.0001,2.4001,2.0001,2.0001,1.0001,2.4628669236e-05,751,"",NA,2.0001,"EBA2,MBA,LBA,IA1,IA2",NA,231,2,385759
"70","NJS_175",369,"NJS","NJS_175_0_0","",0,0,0,0,0,0,0,0,0,0,1.0001,0,1.0001,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,774562.04775,4071957.0438,1.0001,0,1.0001,1.0001,0,0,0.5001,7.608985787e-06,863,"",NA,1.0001,"EBA2,MBA,IA2",NA,243,2,503875
"71","NJS_177",372,"NJS","NJS_177_0_0","",0,0,0,1.0001,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769895.53535,4069181.34455,1.0001,1.0001,1.0001,0,0,0,0,1.2025807746e-05,487,"",NA,1.0001,"EBA1,EBA2",NA,244,2,437085
"72","NJS_20",225,"NJS","NJS_20_0_0","Qabi al-Biyadir",0,0,0,0,0,0,0,0,0,0,2.8001,0,2.8001,0,0,0,0,1.1001,0,4.7001,0,0,0,0,0,0,792508.4716375,4068629.8385,4.7001,0,2.8001,2.8001,1.1001,1.1001,4.7001,1.0799094737e-05,851,"",NA,2.8001,"EBA2,MBA,LBA,IA1,IA2",NA,251,2,546342
"73","NJS_29",235,"NJS","NJS_29_0_0","",0,0,0,8.9001,0,0,0,0,0,0,8.9001,0,8.9002,0,0,0,0,3e-04,0,3e-04,0,0,0,0,0,0,790366.5326,4073810.72766,8.9002,8.9001,8.9001,8.9002,3e-04,3e-04,3e-04,0,NA,"",NA,8.9001,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,257,3,371631
"74","NJS_40",244,"NJS","NJS_40_0_0","",0,0,0,0.5001,0,0,0,0,0,0,1.9001,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,805213.149466667,4071386.20273333,1.9001,0.5001,1.9001,0,0,0,0.5001,0,NA,"",NA,1.9001,"EBA1,EBA2,IA2",NA,264,2,544463
