"","id","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","sizeCat"
"33","218","NJS_137",334,"NJS","NJS_137_0_0","",0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780639.5815,4061680.6807,1.44,1.44,0,0,0,0,0,0,NA,"",NA,1.44,"EBA1",NA,2
"34","22","LLN_133",27,"LLN","LLN_133_0_0","Abu Qassayeb",0,0.3,0.3,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710637.3923,4083547.211,0.3,0.3,0.3,0,0,0,0,3.316740608e-06,141,"",NA,0.3,"EBA1,EBA2",NA,1
"35","220","NJS_14",220,"NJS","NJS_14_0_0","",0,0,0,1.9001,0,0,0,0,0,0,0,0,3.6001,0,3.6001,0,0,0.7001,0,0.4001,0,0,0,0,0,0,795967.86714,4068447.5022,3.6001,1.9001,0,3.6001,3.6001,0.7001,0.4001,0,NA,"",NA,1.9001,"EBA1,MBA,LBA,IA1,IA2",NA,2
"36","225","NJS_145",342,"NJS","NJS_145_0_0","",0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1001,0,0,0,0,0,0,776352.683416667,4066475.00328333,2.1001,1.0001,0,0,0,0,2.1001,0,NA,"",NA,1.0001,"EBA1,IA2",NA,2
"37","24","LLN_136",14,"LLN","LLN_136_0_0","Gir Tav",6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710903.1315,4101869.4968,6,6,6,0,0,0,0,0,NA,"",NA,6,"EBA1,EBA2",NA,3
"38","240","NJS_17",223,"NJS","NJS_17_0_0","al-Khubaza",0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,0,0,791181.439166667,4071319.17046667,1.5001,1e-04,0,0,0,0,1.5001,0,NA,"",NA,1.5001,"EBA1,IA2",NA,2
"39","241","NJS_170",365,"NJS","NJS_170_0_0","",0,0,0,0.5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775770.691066667,4069093.91993333,0.5001,0.5001,0,0,0,0,0,0,NA,"",NA,0.5001,"EBA1",NA,1
"40","244","NJS_177",372,"NJS","NJS_177_0_0","",0,0,0,1.0001,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769895.53535,4069181.34455,1.0001,1.0001,1.0001,0,0,0,0,1.2025807746e-05,487,"",NA,1.0001,"EBA1,EBA2",NA,2
"41","246","NJS_18",224,"NJS","NJS_18_0_0","Biyada Foqani",0,0,0,1.3001,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,0.8001,0,0,0,0,0,0,791808.83315,4069835.8676,1.3001,1.3001,0,1.3001,0,0,0.8001,0,NA,"",NA,1.3001,"EBA1,MBA,IA2",NA,2
"42","249","NJS_19",226,"NJS","NJS_19_0_0","Tell Qarayah al-Botha",0,0,0,3.5001,0,0,0,0,0,0,0,0,6.0001,0,0,0,0,2.5001,0,0.4001,0,0,0,0,0,0,791045.227818182,4069095.38090909,6.0001,3.5001,0,6.0001,2.5001,2.5001,0.4001,3.1636883212e-05,31,"",NA,3.5001,"EBA1,MBA,LBA,IA1,IA2",NA,3
"43","25","LLN_137",3,"LLN","LLN_137_0_0","Barham",1.327322874,0,1.327322874,0,0,0,0,0,0,0,0,0,1.327322874,0,0,0,0,0,0,0,0,0,0,0,0,0,723751.4573,4096537.8784,1.327322874,1.327322874,1.327322874,1.327322874,0,0,0,3.216321923e-06,400,"",NA,1.327322874,"EBA1,EBA2,MBA",NA,2
"44","250","NJS_2",209,"NJS","NJS_2_0_0","",0,0,0,2.7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7001,0,0,0,0,0,0,792794.319025,4074381.519375,2.7001,2.7001,0,0,0,0,2.7001,0,NA,"",NA,2.7001,"EBA1,IA2",NA,2
