L1,OBJECTID_1,hw_type,Corrected,Shape_Leng,angle,angle_abs,startX,midX,endX,startY,midY,endY
2626,2501,"2","1",520.03456747,-0.0082641097616057,179.991735890238,648391.4283,648492.885620942,648541.0527,4074581.9871,4074343.1802493,4074087.8786
2627,2502,"1","1",671.316555252,0.00482480762758981,0.00482480762758981,651153.0423,650850.269640717,650547.1234,4071646.0835,4071790.84772357,4071934.1433
2628,2503,"1","1",371.67715858,0.00282756849869898,0.00282756849869898,650447.7924,650282.253938844,650116.6892,4071987.1198,4072071.57686224,4072155.9824
2629,2504,"1","1",1300.03459799,0.0114714027906587,0.0114714027906587,649807.1827,649283.727992952,648707.92,4072381.1702,4072764.9506068,4073066.5538
2630,2505,"1","1",530.355934594,0.00398799633236088,0.00398799633236088,648437.7201,648197.906751142,647964.2425,4073225.7849,4073338.79839205,4073464.1793
2631,2506,"0","1",515.319034773,0.00837390755054077,0.00837390755054077,651580.0898,651517.462545006,651457.5816,4071936.5871,4072186.01502761,4072436.553
2632,2507,"1","1",1063.08269297,0.0145792674864693,0.0145792674864693,650987.0775,650689.099730442,650377.8476,4072321.7958,4072761.71651348,4073192.5973
2633,2508,"1","0",442.802454417,0.00504606011444248,0.00504606011444248,650986.8505,650824.164130093,650662.3694,4071859.1184,4072009.29046283,4072160.4224
2634,2509,"0","1",600.019985834,0.00554178700763601,0.00554178700763601,651165.1548,651420.022186782,651665.1207,4074065.8696,4074223.9621643,4074396.9729
2635,2510,"0","1",425.921693183,0.00336131794296556,0.00336131794296556,647335.3858,647527.317288217,647710.4552,4066803.339,4066895.61373117,4067003.9575
2636,7688,"0","1",524.769188484,-0.00566714042099755,179.994332859579,820461.546,820655.113946583,820874.7368,4054950.4773,4054773.72044149,4054630.5848
2637,2511,"0","1",757.779137667,0.00526141531080991,0.00526141531080991,647483.6691,647841.115779821,648168.3888,4066694.3072,4066818.41070704,4067008.3188
2638,2512,"2","1",287.777851032,0.00419438044232305,0.00419438044232305,648552.1776,648620.825865435,648693.4658,4071346.9619,4071473.41915973,4071597.5485
2639,2513,"2","1",274.785926647,0.00446223213472313,0.00446223213472313,648682.8025,648716.1252,648749.4479,4071365.6226,4071498.91335,4071632.2041
2640,2514,"2","1",235.106073004,0.00343597937313891,0.00343597937313891,648682.8025,648740.1175,648797.4325,4071365.6226,4071468.25645,4071570.8903
2641,2515,"1","1",1670.99296857,-0.00116162711175188,179.998838372888,645257.2313,644423.822651296,643588.4317,4064013.3072,4063955.89913237,4063943.996
2642,2516,"0","1",1336.66686889,0.0164593618907964,0.0164593618907964,645134.6039,645532.73417175,646022.32,4059126.8698,4059663.50295163,4060107.8894
2643,2517,"1","1",912.052221207,-0.00320808607813403,179.996791913922,646245.4164,646693.91837539,647136.6303,4058646.1399,4058564.31087439,4058455.0846
