Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
LLN_264,38,LLN,LLN_264_0_0,Abu Qadeir,6.25,0,6.25,0,0,6.25,0,6.25,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,737673.8578,4081954.8873,1,6.25,6.25,6.25,0,0,0,1.8560335792e-005,271,,,6.25,"EBA1,EBA2,MBA",,161630
LLN_27,139,LLN,LLN_27_0_0,,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,734450.7486,4079593.0818,1,0,0.0001,0.0001,0,0,0,0,,,,,"EBA2,MBA",,140798
LLN_270,140,LLN,LLN_270_0_0,Tubiz,0,0,0,0,0,0,0,4.06,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,731508.2596,4079746.8855,1,0,4.06,4.06,0,0,0,0,,,,4.06,"EBA2,MBA",,174553
LLN_272,84,LLN,LLN_272_0_0,(Tell Abu Qbara),0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,733421.784,4078444.2742,1,0,0.0001,0.0001,0.0001,0,0,1.1568446004e-005,666,,,1.1568446004e-005,"EBA2,MBA,LBA",,81100
LLN_273,36,LLN,LLN_273_0_0,Tahin,0,0,0,0,0,8.32,0,8.32,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,728981.3292,4074340.6605,1,0,8.32,8.32,0,0,0,7.468759739e-006,531,,,8.32,"EBA2,MBA",,187398
LLN_279,85,LLN,LLN_279_0_0,Abtakh Fowqani,0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,725736.4474,4077364.3441,1,0,6,6,6,6,0,1.3685075777e-005,23,,,6,"EBA2,MBA,LBA,IA1",,108668
LLN_292,33,LLN,LLN_292_0_0,Aweinat el-Amrin 3,0,0,0,0,0,0,0,2.72,0,0,0,0,2.72,0,2.72,0,0,2.72,0,0,0,0,0,0,0,0,719424.4392,4079018.0852,1,0,2.72,2.72,2.72,2.72,0,1.3562129941e-005,703,,,2.72,"EBA2,MBA,LBA,IA1",,190000
LLN_302,87,LLN,LLN_302_0_0,Na'am Jallad,0,0,0,0,0,0,0,2.38,0,2.38,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,723219.3586,4071944.7147,1,0,2.38,2.38,0,0,0,1.8364488191e-005,186,,,2.38,"EBA2,MBA",,187177
LLN_308,144,LLN,LLN_308_0_0,Na'am Hayar,0,0,0,0,0,0,0,2.56,0,0,0,0,2.56,0,2.56,0,0,2.56,0,0,0,0,0,0,0,0,719515.0267,4071976.55,1,0,2.56,2.56,2.56,2.56,0,0,,,,2.56,"EBA2,MBA,LBA,IA1",,194673
LLN_335,150,LLN,LLN_335_0_0,Boutha,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,716428.9178,4059871.192,1,0,0.7,0.7,0,0,0,0,,,,0.7,"EBA2,MBA",,161029
LLN_34,101,LLN,LLN_34_0_0,Gir Margue,0,2.52,2.52,0,0,2.52,0,2.52,0,2.52,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,735718.9455,4098192.0107,1,2.52,2.52,2.52,0,0,0,1.534801748e-006,112,,,2.52,"EBA1,EBA2,MBA",,194968
LLN_36,185,LLN,LLN_36_0_0,,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,721881.9957,4085819.9406,1,0.0001,0.0001,0.0001,0,0,0,0,,,,,"EBA1,EBA2,MBA",,90438
LLN_38,186,LLN,LLN_38_0_0,,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,721826.0592,4085791.9724,1,0.0001,0.0001,0.0001,0,0,0,0,,,,,"EBA1,EBA2,MBA",,95924
LLN_44,20,LLN,LLN_44_0_0,Mutu,0,0,0,0,0,4.1,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,721385.8056,4089265.0609,1,0,4.1,4.1,0,0,0,0,,,,4.1,"EBA2,MBA",,182485
LLN_47,21,LLN,LLN_47_0_0,Hamara,0,2.04,2.04,0,0,2.04,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,721634.1165,4086708.9056,1,2.04,2.04,2.04,0,0,0,3.701807156e-006,321,,,2.04,"EBA1,EBA2,MBA",,145524
LLN_49,50,LLN,LLN_49_0_0,Qarassa,0,10.9,0,0,0,0,0,10.9,0,0,0,0,10.9,0,10.9,0,0,10.9,0,0,0,0,0,0,0,0,720576.4412,4078638.8408,1,10.9,10.9,10.9,10.9,10.9,0,0,,,,10.9,"EBA1,EBA2,MBA,LBA,IA1",,141403
LLN_51,152,LLN,LLN_51_0_0,Qotba Tahtani,0,2.25,2.25,0,0,2.25,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,719942.2424,4095237.0037,1,2.25,2.25,2.25,0,0,0,0,,,,2.25,"EBA1,EBA2,MBA",,191553
