"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","number","id"
"29","NJS_155",386,"NJS","NJS_155_0_0","(Tell Hayal)",0,0,0,0,0,0,0,0,0,0,2.0001,0,2.4001,0,0,0,0,2.0001,0,1.0001,0,0,0,0,0,0,783598.987275,4077589.140125,1,0,2.0001,2.4001,2.0001,2.0001,1.0001,2.4628669236e-05,751,"",NA,2.4001,"EBA2,MBA,LBA,IA1,IA2",NA,105612,231
"30","NJS_157",352,"NJS","NJS_157_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,2.4001,0,0,0,0,0,0,776874.389928571,4072209.58221429,1,0,0,0,1.2001,1.2001,2.4001,0,NA,"",NA,2.4001,"LBA,IA1,IA2",NA,184754,232
"31","NJS_159",354,"NJS","NJS_159_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,1.4001,0,0,0,0,0,0,775451.0526,4074132.2666,1,0,0,0.7001,0,0,1.4001,0,NA,"",NA,1.4001,"MBA,IA2",NA,24830,233
"32","NJS_160",355,"NJS","NJS_160_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.6001,0,0,0,0,1.6001,0,0.7001,0,0,0,0,0,0,780883.346566667,4074584.1562,1,0,0,1.6001,1.6001,1.6001,0.7001,0,NA,"",NA,1.6001,"MBA,LBA,IA1,IA2",NA,167294,234
"33","NJS_161",356,"NJS","NJS_161_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,780944.095925,4073924.178825,1,0,0,0,0,0,0.5001,0,NA,"",NA,0.5001,"IA2",NA,165752,235
"34","NJS_163",358,"NJS","NJS_163_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5001,0,0,0,0,0,0.8001,777242.643125,4060903.158075,1,0,0,0,0,0,2.5001,4.465743454e-06,691,"",NA,2.5001,"IA2",NA,98058,236
"35","NJS_165",360,"NJS","NJS_165_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,777394.988466667,4060118.32083333,1,0,0,0,0,0,1.3001,2.54475159e-06,842,"",NA,1.3001,"IA2",NA,70662,237
"36","NJS_167",362,"NJS","NJS_167_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,778184.413,4059108.5787,1,0,0,0,0,0,0.4,0,NA,"",NA,0.4,"IA2",NA,25588,238
"37","NJS_167",362,"NJS","NJS_167_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,778184.413,4059108.5787,1,0,0,0,0,0,0.4,0,NA,"",NA,0.4,"IA2",NA,25589,238
"38","NJS_167",362,"NJS","NJS_167_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,778184.413,4059108.5787,1,0,0,0,0,0,0.4,0,NA,"",NA,0.4,"IA2",NA,92431,238
"39","NJS_17",223,"NJS","NJS_17_0_0","",0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,0,0,791181.439166667,4071319.17046667,1,1e-04,0,0,0,0,1.5001,0,NA,"",NA,1.5001,"EBA1,IA2",NA,181948,240
"40","NJS_174",371,"NJS","NJS_174_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7001,0,0,0,0,0,0,772333.16978,4070161.94403,1,0,0,0,0,0,2.7001,1.6461739897e-05,20,"",NA,2.7001,"IA2",NA,138709,242
"41","NJS_175",369,"NJS","NJS_175_0_0","",0,0,0,0,0,0,0,0,0,0,1.0001,0,1.0001,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,774562.04775,4071957.0438,1,0,1.0001,1.0001,0,0,0.5001,7.608985787e-06,863,"",NA,1.0001,"EBA2,MBA,IA2",NA,123432,243
"42","NJS_178",373,"NJS","NJS_178_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5001,0,0,0,0,0,0,772604.14324,4066644.55846,1,0,0,0,0,0,2.5001,9.460838281e-06,674,"",NA,2.5001,"IA2",NA,163411,245
"43","NJS_18",224,"NJS","NJS_18_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,0.8001,0,0,0,0,0,0,791808.83315,4069835.8676,1,1.3001,0,1.3001,0,0,0.8001,0,NA,"",NA,1.3001,"EBA1,MBA,IA2",NA,160560,246
"44","NJS_180",375,"NJS","NJS_180_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,0,1.5001,770263.9925,4064990.6776,1,0,0,0,0,0,1.5001,2.871403104e-06,381,"",NA,1.5001,"IA2",NA,175701,247
"45","NJS_182",377,"NJS","NJS_182_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,1.3001,770925.7059,4063642.60073333,1,0,0,0,0,0,1.3001,0,NA,"",NA,1.3001,"IA2",NA,108306,248
"46","NJS_19",226,"NJS","NJS_19_0_0","(Tell el-Butha)?",0,0,0,3.5001,0,0,0,0,0,0,0,0,6.0001,0,0,0,0,2.5001,0,0.4001,0,0,0,0,0,0,791045.227818182,4069095.38090909,1,3.5001,0,6.0001,2.5001,2.5001,0.4001,3.1636883212e-05,31,"",NA,6.0001,"EBA1,MBA,LBA,IA1,IA2",NA,156520,249
"47","NJS_2",209,"NJS","NJS_2_0_0","",0,0,0,2.7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7001,0,0,0,0,0,0,792794.319025,4074381.519375,1,2.7001,0,0,0,0,2.7001,0,NA,"",NA,2.7001,"EBA1,IA2",NA,66711,250
"48","NJS_20",225,"NJS","NJS_20_0_0","",0,0,0,0,0,0,0,0,0,0,2.8001,0,2.8001,0,0,0,0,1.1001,0,4.7001,0,0,0,0,0,0,792508.4716375,4068629.8385,1,0,2.8001,2.8001,1.1001,1.1001,4.7001,1.0799094737e-05,851,"",NA,4.7001,"EBA2,MBA,LBA,IA1,IA2",NA,165790,251
